path,text
0000093.png,"Spaceship cockpit, pointed cream hull with black window and rounded base"
0000094.png,"Spaceship hull, slender blue capsule with rounded ends and dark central viewport"
0000096.png,"Spaceship hull, elongated cream capsule with rounded ends and dark central viewport"
0000097.png,"Spaceship cockpit, tapered blue hull with pointed tip and dark central canopy"
0000098.png,"Spaceship module, inverted triangular plate with segmented blue border and dark center"
0000099.png,"Spaceship module, segmented blue circular ring with open center and dark core"
0000101.png,"Spaceship module, inverted triangular plate with segmented red border and dark center"
0000102.png,"Spaceship module, segmented red circular ring with open center and dark core"
0000104.png,"Spaceship module, inverted triangular plate with segmented cream border and dark center"
0000105.png,"Spaceship module, segmented cream circular ring with open center and dark core"
0000106.png,"Spaceship module, two-pronged blue hull with vertical prongs and dark central slot"
0000107.png,"Spaceship module, bulbous blue circular frame with top neck and dark core"
0000108.png,"Spaceship module, two-pronged red hull with vertical prongs and dark central slot"
0000110.png,"Spaceship module, two-pronged cream hull with vertical prongs and dark central slot"
0000111.png,"Spaceship module, bulbous cream circular frame with top neck and dark core"
0000112.png,"Spaceship cockpit, dome-shaped blue nose hull with a large dark central canopy"
0000114.png,"Spaceship cockpit, dome-shaped cream nose hull with a large dark central canopy"
0000116.png,"Spaceship wing, blue aerodynamic fin with curved outer slope and straight vertical edge"
0000117.png,"Spaceship wing, blue aerodynamic fin with straight vertical edge and curved outer slope"
0000121.png,"Spaceship chassis, cream curved hull frame with dual crescent prongs and central connector"
0000046.png,"Masked character facing left, holding a vertical white sword in dark teal coat"
0000047.png,"Masked character running left with raised white sword, wearing dark teal long coat"
0000048.png,"Masked character facing forward left, brandishing a white sword in dark teal coat"
0000049.png,"Masked character running left, holding a sword behind them in dark teal coat"
0000050.png,"Masked character standing facing left, wearing a long dark teal coat and boots"
0000051.png,"Masked character thrusting a thin white sword left, wearing long dark teal coat"
0000052.png,"Masked character walking left with empty hands, wearing a dark teal trench coat"
0000053.png,Masked character walking left and thrusting a thin white sword horizontally forward
0000054.png,"Masked character standing facing left with hands drawn in, wearing dark teal coat"
0000055.png,"Masked character lunging left, thrusting a thin white sword forward in dark coat"
0000056.png,Masked character crouching and thrusting a thin white sword left in teal coat
0000057.png,"Masked character walking left, wearing a white mask and dark teal long coat"
0000058.png,"Masked character standing upright in profile facing left, wearing long dark teal coat"
0000059.png,"Person seen from behind, wearing an orange headband and long dark teal coat"
0000060.png,"Person seen from behind, walking away with arms raised in dark teal coat"
0000061.png,"Person seen from behind, running away with raised fists in dark teal coat"
0000062.png,Upward arrows in a three-by-three rainbow grid on light green square tiles
0000063.png,Stone wall made of dark grey rectangular bricks with black mortar lines
0000064.png,Potion bottles including a small blue vial and a larger red flask
0000065.png,"Potion bottle filled with bright red liquid, having a dark grey stopper"
0000001.png,Sledgehammer with a diagonal brown wooden handle and grey stone head
0000002.png,"Warrior crouching in teal coat and white mask, raising sword overhead"
0000003.png,"Warrior in teal coat with white mask, holding a sword straight overhead"
0000004.png,"Warrior in white mask and teal coat, holding a sword downwards at side"
0000005.png,"Warrior wearing white mask and teal coat, standing with sword held low"
0000006.png,Warrior in white mask and teal coat walking forward with lowered sword
0000008.png,Warrior with white mask and teal coat stepping forward in a swinging stance
0000009.png,Warrior in white mask and teal coat holding sword upright before chest
0000010.png,Warrior wearing white mask and teal coat running forward in mid-stride
0000011.png,Warrior in white mask and teal coat advancing forward with raised sword
0000012.png,Warrior with white mask and teal coat walking downward with sword lowered
0000013.png,Warrior in white mask and teal coat standing in ready stance with sword
0000014.png,Warrior wearing white mask and teal coat standing straight facing forward
0000015.png,Warrior with white mask and teal coat standing alert with sword at side
0000016.png,Warrior in white mask and teal coat standing straight holding sword downwards
0000017.png,"Warrior seen from behind in teal coat and red hat, raising sword"
0000018.png,Warrior seen from behind in teal coat raising sword directly above head
0000019.png,Warrior seen from behind standing straight with sword raised vertically overhead
0000020.png,Warrior seen from behind in teal coat and red hat running forward
