path,text
000001.png,Dirt floor tile with scattered reddish-brown specks on a dark purple-brown surface
000002.png,Cobblestone floor tile with scattered reddish-brown square stones on dark purple background
000003.png,Circular cobblestone tile featuring reddish-brown square stones arranged in a round cluster
000004.png,Circular stone pattern tile with reddish-brown square pavers centered on dark ground
000005.png,Mossy floor tile with bright green flecked patches on dark purple ground
000006.png,Mossy ground tile decorated with bright green diamond-shaped clusters and small dots
000007.png,Grass floor tile featuring bright green stepped and zigzag patches on dark ground
000008.png,Pathway tile with reddish-brown pavement flanked by dark vertical striped borders
000009.png,Curved corner wall tile with reddish-brown border framing dark square interior marks
000010.png,"Wall border tile with reddish-brown surface, dark vertical trim, and center dashes"
000011.png,Carved stone tile featuring a central dark cross and reddish-brown corner brackets
000012.png,Arched wall tile with a reddish-brown arch border enclosing a central rectangular slot
000013.png,Dark purple floor tile with a thin reddish-brown stripe along the right edge
000014.png,Dark wall tile featuring a notched reddish-brown border along its right side
000015.png,Corner border tile with dark purple surface and reddish-brown right and bottom edges
000016.png,Pavement tile composed of interlocking reddish-brown rectangular bricks with dark mortar lines
000017.png,Ornamental floor tile displaying a symmetrical reddish-brown geometric pattern on dark ground
000018.png,Crumbling stone wall corner tile with cream edge framing dark purple broken bricks
000019.png,Crumbling stone wall top tile featuring cream trim above dark purple broken bricks
000020.png,Crumbling stone wall corner tile with cream top-right trim over dark purple bricks
000061.png,Skeleton figure in pale beige bone color with dark eye sockets and stout limbs
000062.png,Hooded robed character in pale beige facing forward with hands held at sides
000063.png,Hooded traveler in pale beige robes holding an upright staff in one hand
000064.png,Sprouting grass shoots in bright green consisting of three thin vertical leafy stems
000065.png,Branching cactus in bright green with multiple horizontal and vertical limbs spreading outwards
000066.png,Twisting vine plant in bright green with a central stem and small leaves
000067.png,Two conical pine trees in bright green standing together side by side
000068.png,Deciduous tree with a rounded bright green foliage canopy and thick central trunk
000069.png,Cluster of smooth stone boulders and pebbles in pale beige with rounded edges
000070.png,Leafless dead shrub in light brown with angled bare woody branches spreading outward
000071.png,Palm tree in bright green featuring drooping canopy fronds atop a slender stem
000072.png,Vertical dirt road segment in reddish brown with dark borders and central dashes
000073.png,Corner wall tile in reddish brown with dark crenellated top and left edges
000074.png,Straight wall segment in reddish brown with a dark left border and accents
000075.png,Ground floor tile in reddish brown featuring dark corner notches and central accents
000076.png,Fortified wall section in reddish brown with crenellations and a small base notch
000077.png,Stone post in pale beige featuring a hollow circular top above a square block
000078.png,Stone column connector in pale beige with a central ring between two rectangular blocks
000079.png,Stone corner junction in pale beige with a hollow ring connecting two adjoining blocks
000080.png,Four-way stone cross junction in pale beige with a central ring and four arms
000081.png,Paving stone junction with a central hollow beige square and three connected blocks
000082.png,Stone wall corner composed of beige brick blocks lining the left and bottom
000083.png,Stone wall section composed of stacked beige bricks along the bottom edge
000084.png,Stone wall corner showing jagged beige bricks along the bottom and right edges
000085.png,Grass stalks in reddish brown growing in vertical lines from the bottom edge
000086.png,Wooden walkway section featuring a horizontal reddish-brown plank crossing two vertical posts
000087.png,Wooden crate face with a light beige border and a diagonal cross brace
000088.png,Cloaked figure wearing a hooded beige robe with long sleeves hanging downward
000089.png,"Alien humanoid figure with a round beige head, short antenna ears, and limbs"
000090.png,Humanoid character wearing a wide-brimmed beige hat with square torso and limbs
000091.png,Horned humanoid creature in beige holding an upright three-pronged pitchfork
000092.png,Humanoid warrior in beige holding an upright staff or spear beside its body
000093.png,Goblin creature in beige with wide horizontal pointed ears and short legs
000094.png,Humanoid warrior in beige holding two downward-pointing daggers at its sides
000095.png,Humanoid traveler in beige wearing a wide hat and holding a walking staff
000096.png,Wooden fence segment in reddish brown with vertical pickets connected by beams
000097.png,Wooden bookshelf in reddish brown with books standing on two horizontal shelves
000098.png,Wooden wall shelf in reddish brown with vertical dividers and two horizontal planks
000099.png,Wooden door in reddish brown positioned inside a matching vertical rectangular doorframe
000100.png,Corridor path in dark purple bordered by vertical reddish-brown segmented wooden walls
000101.png,"Portcullis gate, vertical beige bars and horizontal crossbeams on a dark brown field"
000102.png,"Raised portcullis gate, open doorway framed by beige tooth-like bars top and bottom"
000103.png,"Wall border, two vertical reddish-brown stripes running down the left dark edge"
000104.png,"Corner wall trim, reddish-brown double angled stripes turning around the upper-left corner"
000105.png,"Corner wall accent, small reddish-brown right-angled block in the lower-left corner"
000106.png,"Wall pillar borders, two sets of twin reddish-brown vertical stripes on both sides"
000107.png,"Archway outline, reddish-brown rounded doorway frame surrounding a dark central passage"
000108.png,"Wall border, reddish-brown vertical stripes on right with small corner piece bottom-left"
000109.png,"Stone pillar base, short beige rectangular block standing upright against a dark ground"
000110.png,"Stone pillar, tall beige rectangular column extending vertically through the dark center"
000111.png,"Corner wall segment, beige right-angled beam bending from bottom to the right"
000112.png,"Crossroads wall junction, four-way beige stone cross with a square hollow center"
000113.png,"T-junction wall, beige vertical stone beam joining a single horizontal branch extending right"
000114.png,"Loose stone bricks, small pile of light beige blocks in the bottom-right corner"
000115.png,"Crumbling stone wall, light beige rectangular bricks clustered along the bottom-left corner"
000116.png,"Diagonal stone staircase, beige stepped slope rising toward top-right with scattered debris underneath"
000117.png,"Diagonal stone staircase, beige stepped slope descending toward bottom-right with scattered rubble underneath"
000118.png,"Decorated floor tile, concentric beige square frames surrounding a dark brown interior"
000119.png,"Mosaic floor tile, beige and dark checkered grid enclosed within a square frame"
