path,text
0000001.png,"rough sprite, Staff with a two-pronged grey metal head and a long brown wooden handle"
0000002.png,"rough sprite, Stone oval with mottled grey shadows and a rounded, slightly tapered top"
0000003.png,"Person seen from behind wearing a light blue shirt, blue pants, and brown hair"
0000004.png,"clean sprite, Tile of square brown wood featuring a dark carved sword diagonally across the center"
0000005.png,Monster in a crouch with grey and teal skin holding a serrated black blade
0000006.png,"rough sprite, Creature with a spindly black insectoid body, thin legs, and glowing red eyes"
0000007.png,Block of grey material displaying a white digital number eight within a dark border
0000008.png,Grass cluster with multiple spiky green blades growing from a single base
0000009.png,"clean sprite, Hammer with a square grey stone head and a diagonal brown wooden handle"
0000010.png,Coin of circular gold metal with a central vertical bar and dark rim
0000011.png,"clean sprite, Table of rectangular brown wood with four thin legs and a flat top"
0000012.png,"Person profile with brown hair, light blue shirt,"
0000013.png,"Dollar sign, white and light blue, with dark gray edges and thick lettering"
0000014.png,"rough sprite, Canister, tall grey metallic cylinder with black base and horizontal top strips"
0000015.png,"Grass patch, circular clump of green blades atop a dark brown soil base"
0000016.png,"Humanoid creature, grey muscular torso, teal limbs, and black shorts in wide stance"
0000017.png,"Humanoid creature, grey body, teal arms, crouching forward with red facial details"
0000018.png,"Server rack, dark grey console featuring colorful lights and a white coffee mug"
0000019.png,"Wooden shield, light brown oval with concentric circular patterns and dark border"
0000020.png,"clean sprite, Beer mug, clear glass filled with yellow liquid and thick white foam"
0000021.png,"rough sprite, Bread slice, light tan center with brown crust and dark brown seeds"
0000022.png,"crisp detailed sprite, Coffee mug, white ceramic containing frothy tan liquid and a side handle"
0000023.png,"clean sprite, Alien soldier, crouching grey humanoid with teal accents, holding a black weapon"
0000024.png,"clean sprite, Crouching alien, frontal view, grey armored body, teal arms, and black legs"
0000025.png,"rough sprite, Dirt mound, brown earthy base with a hollow black center and stick"
0000026.png,"rough sprite, Green shrub, dense leafy foliage with light and dark green textured highlights"
0000027.png,"White trousers, short baggy fabric with light lavender shading and dark outlines"
0000028.png,"rough sprite, Electronic console, horizontal grey base with a tall blue and white component"
0000029.png,"clean sprite, Mace weapon, silver spiked metal ball attached to a long brown handle"
0000030.png,"Striped dome, semi-circular shape with alternating tan and dark brown diagonal bands"
0000031.png,"crisp detailed sprite, Potion bottle, glass flask containing glowing blue liquid with a brown cork"
0000032.png,"clean sprite, Crouching alien, frontal perspective showing grey armor, teal markings, and black limbs"
0000033.png,"clean sprite, Alien soldier, profile view, crouching with grey armor and teal limbs, aiming"
0000034.png,"Wooden shield, round light brown surface with dark rim and central slit"
0000035.png,"clean sprite, Data card, silver rectangular badge with a yellow chip and white accents"
0000036.png,"clean sprite, Control buttons, two white square panels featuring black up and down arrows"
0000037.png,"rough sprite, Bed frame, black minimalist structure with a white pillow and purple mattress"
0000038.png,"clean sprite, Dark gray humanoid robot swinging a glowing orange energy blade in an arc"
0000039.png,"clean sprite, Blue mat, rectangular fabric featuring two vertical red stripes and grey underside"
0000040.png,"clean sprite, Thin alien, slender standing humanoid with dark grey, teal, and black colors"
0000041.png,"Metal chain, diagonal sequence of grey and black links with white glints"
0000042.png,"Alien creature, kneeling position, grey armored back, teal arms, and black legs"
0000043.png,"Question mark, purple and white colors with a thick dark gray outline"
0000044.png,"crisp detailed sprite, Pineapple, orange fruit with crosshatched skin and spiky green leaves on top"
