path,text
0000001.png,Staff with a two-pronged grey metal head and a long brown wooden handle
0000002.png,"Stone oval with mottled grey shadows and a rounded, slightly tapered top"
0000003.png,"Person seen from behind wearing a light blue shirt, blue pants, and brown hair"
0000004.png,Tile of square brown wood featuring a dark carved sword diagonally across the center
0000005.png,Monster in a crouch with grey and teal skin holding a serrated black blade
0000006.png,"Creature with a spindly black insectoid body, thin legs, and glowing red eyes"
0000007.png,Block of grey material displaying a white digital number eight within a dark border
0000008.png,Grass cluster with multiple spiky green blades growing from a single base
0000009.png,Hammer with a square grey stone head and a diagonal brown wooden handle
0000010.png,Coin of circular gold metal with a central vertical bar and dark rim
0000011.png,Table of rectangular brown wood with four thin legs and a flat top
0000012.png,"Person profile with brown hair, light blue shirt,"
0000013.png,"Dollar sign, white and light blue, with dark gray edges and thick lettering"
0000014.png,"Canister, tall grey metallic cylinder with black base and horizontal top strips"
0000015.png,"Grass patch, circular clump of green blades atop a dark brown soil base"
0000016.png,"Humanoid creature, grey muscular torso, teal limbs, and black shorts in wide stance"
0000017.png,"Humanoid creature, grey body, teal arms, crouching forward with red facial details"
0000018.png,"Server rack, dark grey console featuring colorful lights and a white coffee mug"
0000019.png,"Wooden shield, light brown oval with concentric circular patterns and dark border"
0000020.png,"Beer mug, clear glass filled with yellow liquid and thick white foam"
0000021.png,"Bread slice, light tan center with brown crust and dark brown seeds"
0000022.png,"Coffee mug, white ceramic containing frothy tan liquid and a side handle"
0000023.png,"Alien soldier, crouching grey humanoid with teal accents, holding a black weapon"
0000024.png,"Crouching alien, frontal view, grey armored body, teal arms, and black legs"
0000025.png,"Dirt mound, brown earthy base with a hollow black center and stick"
0000026.png,"Green shrub, dense leafy foliage with light and dark green textured highlights"
0000027.png,"White trousers, short baggy fabric with light lavender shading and dark outlines"
0000028.png,"Electronic console, horizontal grey base with a tall blue and white component"
0000029.png,"Mace weapon, silver spiked metal ball attached to a long brown handle"
0000030.png,"Striped dome, semi-circular shape with alternating tan and dark brown diagonal bands"
0000031.png,"Potion bottle, glass flask containing glowing blue liquid with a brown cork"
0000032.png,"Crouching alien, frontal perspective showing grey armor, teal markings, and black limbs"
0000033.png,"Alien soldier, profile view, crouching with grey armor and teal limbs, aiming"
0000034.png,"Wooden shield, round light brown surface with dark rim and central slit"
0000035.png,"Data card, silver rectangular badge with a yellow chip and white accents"
0000036.png,"Control buttons, two white square panels featuring black up and down arrows"
0000037.png,"Bed frame, black minimalist structure with a white pillow and purple mattress"
0000038.png,Dark gray humanoid robot swinging a glowing orange energy blade in an arc
0000039.png,"Blue mat, rectangular fabric featuring two vertical red stripes and grey underside"
0000040.png,"Thin alien, slender standing humanoid with dark grey, teal, and black colors"
0000041.png,"Metal chain, diagonal sequence of grey and black links with white glints"
0000042.png,"Alien creature, kneeling position, grey armored back, teal arms, and black legs"
0000043.png,"Question mark, purple and white colors with a thick dark gray outline"
0000044.png,"Pineapple, orange fruit with crosshatched skin and spiky green leaves on top"
0000045.png,"Tall cylindrical tank, grey metal surface with black bands at top and bottom"
0000046.png,"Shadowy creature, dark green and black limbs with glowing red eyes"
0000047.png,"Oval gemstone, pale grey and white facets with a dark grey outline"
0000048.png,"Wooden sign, brown rectangular plank with the word INN carved into it"
0000049.png,"Potted plant, dark grey pot with green stems and small red berries"
0000050.png,"Cybernetic warrior, grey armor plating with green highlights and red glowing eyes"
0000051.png,"Gold coin, yellow circular metal with a darker yellow center and outer rim"
0000052.png,"Wooden barrel, brown vertical planks bound together by two dark metal hoops"
0000053.png,"Crouching soldier, green and grey jumpsuit holding a large black futuristic rifle"
0000054.png,"Armored character, grey and green suit viewed from behind while walking forward"
0000055.png,"Man, brown hair, blue shirt and trousers, standing in a side profile"
0000056.png,"Robot, grey metal body, glowing"
0000057.png,a pixel art sprite
0000058.png,a black and white image of a man in a suit
0000059.png,"Water droplet, swirling blue liquid with a bright highlight and a tapering tail"
0000060.png,"Human character, side view with brown hair, white shirt and blue trousers"
0000061.png,"Robot, white vertical torso with grey mechanical arms and a black base"
0000062.png,"Window, square grey outer frame with light blue glass and a center divider"
0000063.png,"Soldier, teal skin, gray armor, black helmet with red visor, holding a rifle"
0000064.png,"Lanky dark creature, black with red highlights, in a hunched, ready-to-pounce posture"
0000065.png,"Robot head, boxy blue metal, pale face plate, two dark square eyes"
0000066.png,"Robot, slender black body, red glowing eyes, red shoulder accents, thin limbs"
0000067.png,"Floating robot, small gray body, red eyes, yellow core, two claw arms"
0000068.png,"Stone tile, square gray surface, white number zero, dark outer border"
0000069.png,"Flying pod, round orange metal, golden front grille, top rotating propeller blades"
0000070.png,"Gold coin, circular yellow disc, embossed vertical line in the center"
0000071.png,"Badge, circular yellow frame, portrait of white-haired man in dark suit"
0000072.png,"Stone tile, square gray surface, white number nine, dark outer border"
0000073.png,"Tan surface, wavy left edge, brown speckles, light beige organic material"
0000074.png,"Bush, dense green foliage, dark interior, three small blue floating diamonds"
0000075.png,"Soldier, crouching teal humanoid, gray suit, black weapon, seen from behind"
0000076.png,"Soldier, crouched teal humanoid, gray armor, black helmet, red visor, profile view"
0000077.png,"Cloak, tattered yellow and gray fabric, blue trim, mottled pattern, ragged edges"
0000078.png,"Floating robot, small gray body, red eyes, yellow center, two arms"
0000079.png,"Mechanical arm, silver metal joints, hand with fingers, attached to round base"
0000080.png,"Bananas, three yellow fruit, black tips, brown outlines, bunched at the top"
0000081.png,"Petal, large purple curved shape, smooth surface, dark shading, light highlights"
0000082.png,"Character, small person, black hair, white shirt, black trousers, walking pose"
0000083.png,"Soldier, crouching teal humanoid, gray suit, black helmet, red visor, side view"
0000084.png,"Wooden cabinet, rectangular shape in light brown wood grain with dark edges"
0000085.png,"Humanoid soldier, grey and teal armor, crouching posture holding a black rifle"
0000086.png,"Armored figure, grey and teal suit, huddled forward with black limbs tucked"
0000087.png,"Cybernetic soldier, grey armor with teal joints, crouching in a low tactical stance"
0000088.png,"Wooden reception desk, brown timber panels arranged in an isometric U-shaped counter"
0000089.png,"Blue flower, five petals with black outlines and a short green stem"
0000090.png,"Ninja warrior, black bodysuit, orange visor, wielding a long glowing red sword"
0000091.png,a black and white image of a man in a suit
0000092.png,"Metallic dome, light blue smooth surface, rounded base with a small top nub"
0000093.png,"Storage crate, brown wood panels, grey metal bands, standing upright in rectangular form"
0000094.png,"Green mechanical pod, round body, yellow vertical bars, topped with a small antenna"
0000095.png,"Skunk creature, black and white fur, walking sideways with"
0000096.png,"Commando, armored back view with grey plating, green accents and black trousers"
0000097.png,"Creature, small grey body with yellow wings resting on white cloud shapes"
0000098.png,"Helmet, grey metal Viking style with yellow horns and blue facial markings"
0000099.png,"Soldier, standing tactical figure in grey armor with black gear and red visors"
0000100.png,"Bomb, dark blue spherical body with a curved brown fuse on top"
0000101.png,a pixel art sprite
0000102.png,"Crate, dark grey"
0000103.png,a pixeled icon of a white square with a blue border
0000104.png,"Round table, peach circular top, brown wooden legs in a tripod shape"
0000105.png,"Short sword, wide silver blade, brown crossguard, dark blue handle grip"
0000106.png,"Grey robot, upright mechanical body, two arms, waving hand, black peg base"
0000107.png,"Woodcutting axe, small metallic silver head, long vertical brown wooden handle"
0000108.png,"Wooden crate, rectangular brown box, dark top surface, light brown side panels"
0000109.png,"Grey robot, two arms, red glowing eyes, yellow circular light on chest"
0000110.png,"Mechanical turret, silver robotic arm holding handgun, mounted on metallic grey base"
0000111.png,"Gold coin, octagonal yellow shape, thick border, embossed circle in the center"
0000112.png,"Wooden plank, tall vertical brown rectangle, white sparkles at the top corner"
0000113.png,"Human boy, brown hair, light blue hoodie, blue trousers, grey walking shoes"
0000114.png,"Metal barrel, dark grey cylindrical body, two horizontal black reinforcing bands"
0000115.png,"Cybernetic creature, grey armor, teal limbs, black head with small red visor"
0000116.png,"Pink frosting swirl, soft rounded mounds, white highlight at the top edge"
0000117.png,"Capital letter H, white center, light purple border, thick black outer stroke"
0000118.png,"Hovering robot, blue spherical body, yellow grill, twin rotors on the top"
0000119.png,"Grey robot, side view, pointing arm, red eyes, small black peg base"
0000120.png,"Door key, bright orange plastic material, rectangular head, two small teeth"
0000121.png,"Electronic console, black and dark grey casing, white and orange status lights"
0000122.png,"Lightning bolt, jagged yellow and orange shape, thick black outline, white highlights"
0000123.png,"Crouching warrior, metallic grey torso, teal arms and legs, holding black sword"
0000124.png,"Demon mask with green face, golden horns, glowing eyes, and sharp teeth"
